0.309,0.986,0.0
0.408,0.517,1.0
0.603,0.844,1.0
0.458,0.706,1.0
0.073,0.774,1.0
0.148,0.67,1.0
0.449,0.734,1.0
0.332,0.286,0.0
0.376,0.944,1.0
0.877,0.045,0.0
0.012,0.165,1.0
0.656,0.302,0.0
0.133,0.494,0.0
0.362,0.983,0.0
0.39,0.039,1.0
0.077,0.488,1.0
0.894,0.668,1.0
0.517,0.818,0.0
0.575,0.153,1.0
0.398,0.973,1.0
0.251,0.527,0.0
0.884,0.797,0.0
0.677,0.229,0.0
0.619,0.399,1.0
0.656,0.423,0.0
0.265,0.51,1.0
0.507,0.609,0.0
0.122,0.809,0.0
0.307,0.953,0.0
0.439,0.378,1.0
0.948,0.253,1.0
0.863,0.113,0.0
0.741,0.513,0.0
0.585,0.14,1.0
0.554,0.869,0.0
0.286,0.754,0.0
0.644,0.38,0.0
0.934,0.878,1.0
0.321,0.274,1.0
0.151,0.566,0.0
0.818,0.895,1.0
0.658,0.283,1.0
0.793,0.55,0.0
0.254,0.99,1.0
0.956,0.238,0.0
0.59,0.394,0.0
0.818,0.733,1.0
0.138,0.374,0.0
0.113,0.626,1.0
0.985,0.076,0.0
0.596,0.443,0.0
0.32,0.928,1.0
0.357,0.227,1.0
0.088,0.269,1.0
0.464,0.863,1.0
0.775,0.081,1.0
0.206,0.819,0.0
0.832,0.569,1.0
0.793,0.659,1.0
0.094,0.107,1.0
0.825,0.518,1.0
0.33,0.696,0.0
0.234,0.414,1.0
0.395,0.747,0.0
0.718,0.287,0.0
0.727,0.224,0.0
0.239,0.86,0.0
0.813,0.192,1.0
0.543,0.273,1.0
0.201,0.599,1.0
0.933,0.856,1.0
0.955,0.9,0.0
0.54,0.836,1.0
0.206,0.58,1.0
0.748,0.212,0.0
0.312,0.365,0.0
0.722,0.626,1.0
0.952,0.186,0.0
0.656,0.124,0.0
0.331,0.931,1.0
0.68,0.823,1.0
0.501,0.389,1.0
0.476,0.219,0.0
0.513,0.211,1.0
0.995,0.1,0.0
0.317,0.952,1.0
0.135,0.699,0.0
0.094,0.513,1.0
0.034,0.854,1.0
0.453,0.867,1.0
0.361,0.787,1.0
0.697,0.776,1.0
0.692,0.93,1.0
0.776,0.323,0.0
0.297,0.731,0.0
0.205,0.39,1.0
0.966,0.282,1.0
0.814,0.373,0.0
0.914,0.555,1.0
0.7,0.393,1.0
0.45,0.95,1.0
0.266,0.256,1.0
0.883,0.836,1.0
0.402,0.802,0.0
0.576,0.308,1.0
0.462,0.615,0.0
0.959,0.965,0.0
0.05,0.524,1.0
0.023,0.31,1.0
0.338,0.972,1.0
0.954,0.45,0.0
0.642,0.461,1.0
0.639,0.256,1.0
0.467,0.785,1.0
0.98,0.355,0.0
0.912,0.102,1.0
0.896,0.29,0.0
0.913,0.345,1.0
0.311,0.731,0.0
0.435,0.114,1.0
0.245,0.638,1.0
0.297,0.631,0.0
0.075,0.777,1.0
0.281,0.024,0.0
0.243,0.787,1.0
0.5,0.872,0.0
0.596,0.157,1.0
0.159,0.112,1.0
0.239,0.884,0.0
0.984,0.523,0.0
0.02,0.959,1.0
0.498,0.876,0.0
0.032,0.597,0.0
0.49,0.941,0.0
0.659,0.064,0.0
0.705,0.716,1.0
0.238,0.883,1.0
0.332,0.079,1.0
0.532,0.211,1.0
0.513,0.898,0.0
0.743,0.544,0.0
0.837,0.961,0.0
0.942,0.181,1.0
0.746,0.107,0.0
0.68,0.151,1.0
0.132,0.805,1.0
0.642,0.556,0.0
0.746,0.996,1.0
0.981,0.616,1.0
0.628,0.972,1.0
